Temperature,m2 average,m2 error 
2.50000,0.06046,0.00027
2.47500,0.07255,0.00035
2.45000,0.08789,0.00044
2.42500,0.10805,0.00062
2.40000,0.13727,0.00083
2.37500,0.17577,0.00101
2.35000,0.22736,0.00160
2.32500,0.29099,0.00171
2.30000,0.36385,0.00153
2.27500,0.44226,0.00168
2.25000,0.51415,0.00162
2.22500,0.57810,0.00155
2.20000,0.62610,0.00192
2.17500,0.66882,0.00119
2.15000,0.70489,0.00053
2.12500,0.73319,0.00064
2.10000,0.75753,0.00063
2.07500,0.78007,0.00014
2.05000,0.79914,0.00012
2.02500,0.81645,0.00011
2.00000,0.83201,0.00010
